"Päivitetty","Osio","Kategoria","Nimi","URL","Lähde","Riskipisteet","Suositus","Alkuperäinen domain","Lopullinen domain","Domain vaihtui","RDAP-signaali","Sisältösignaali","Sivun otsikko","Manuaalinen tila","Luottamustaso","Huomiot"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Lakeuden Lehti","http://www.maakuntalehdet.fi/lakeudenl_media.htm","localNewspaperLinks.ts","190","piilota","maakuntalehdet.fi","maakuntalehdet.fi","ei","RDAP 429","ei tarkistettu","","","","Ei HTTPS-yhteyttä; DNS ei ratkennut: ENOTFOUND; fetch failed; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Lapuan Sanomat","http://www.lapuansanomat.fi/","localNewspaperLinks.ts","190","piilota","lapuansanomat.fi","lapuansanomat.fi","ei","Lapua - Säätiö sr","ei tarkistettu","","","","Ei HTTPS-yhteyttä; Tarkistus aikakatkaistiin; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Lauttakylä-lehti","http://www.lauttakyla.fi/","localNewspaperLinks.ts","190","piilota","lauttakyla.fi","lauttakyla.fi","ei","Huittisten Sanomalehti Oy","ei tarkistettu","","","","Ei HTTPS-yhteyttä; Tarkistus aikakatkaistiin; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Loviisan Sanomat","http://www.loviisansanomat.net/","localNewspaperLinks.ts","190","piilota","loviisansanomat.net","loviisansanomat.net","ei","Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA","ei tarkistettu","","","","Ei HTTPS-yhteyttä; Tarkistus aikakatkaistiin; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Maaselkä (lehti)","http://www.maaselkalehti.fi","localNewspaperLinks.ts","190","piilota","maaselkalehti.fi","maaselkalehti.fi","ei","HAAPAJÄRVI-SEURA RY","ei tarkistettu","","","","Ei HTTPS-yhteyttä; DNS ei ratkennut: ENOTFOUND; fetch failed; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Turun Tienoo","http://www.turuntienoo.fi/","localNewspaperLinks.ts","190","piilota","turuntienoo.fi","turuntienoo.fi","ei","Online Solutions Oy","ei tarkistettu","","","","Ei HTTPS-yhteyttä; Tarkistus aikakatkaistiin; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Ylä-Karjala (lehti)","http://www.ylakarjala.com","localNewspaperLinks.ts","190","piilota","ylakarjala.com","ylakarjala.com","ei","Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA","ei tarkistettu","","","","Ei HTTPS-yhteyttä; DNS ei ratkennut: EAI_AGAIN; fetch failed; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP-tarkistus epäonnistui; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Kylänraitti","http://www.veikkola.net","localNewspaperLinks.ts","155","piilota","veikkola.net","vistaprint.com","kyllä","Dynadot Inc","huomio","Webs.com has been shut down: Find out more","","","Ei HTTPS-yhteyttä; Sivu vaikuttaa parkkisivulta tai myytävältä domainilta; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Domain vaihtui: veikkola.net -> vistaprint.com; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Ykkössanomat","http://www.ykkossanomat.fi/","localNewspaperLinks.ts","145","piilota","ykkossanomat.fi","ykkossanomat.fi","ei","RDAP 429","huomio","test — Ravintola EstsetARDEQssa","","","Ei HTTPS-yhteyttä; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Somero (lehti)","http://www.somerolehti.fi/uutiset/index.html","localNewspaperLinks.ts","140","piilota","somerolehti.fi","somerolehti.fi","ei","RDAP 429","ei tarkistettu","","","","Ei HTTPS-yhteyttä; HTTP 404; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP 404"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Tyrvään Sanomat","http://www.tyrvaansanomat.fi/Etusivu","localNewspaperLinks.ts","140","piilota","tyrvaansanomat.fi","tyrvaansanomat.fi","ei","RDAP 429","ei tarkistettu","","","","Ei HTTPS-yhteyttä; HTTP 404; Ei HTTPS-yhteyttä; Turvallisuushuomio; HTTP 404"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Elimäen Sanomat","http://www.elimaensanomat.fi/index.html","localNewspaperLinks.ts","120","piilota","elimaensanomat.fi","futisfani.com","kyllä","RDAP 429","ok","Jalkapallo - Futisfani.com","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Domain vaihtui: elimaensanomat.fi -> futisfani.com"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Komiat","http://www.komiatlehti.fi/","localNewspaperLinks.ts","120","piilota","komiatlehti.fi","komiat.fi","kyllä","RDAP 429","ok","Etusivu | Komiat","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Domain vaihtui: komiatlehti.fi -> komiat.fi"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Siikajokilaakso (sanomalehti)","http://www.siikkis.fi","localNewspaperLinks.ts","120","piilota","siikkis.fi","siikajokilaakso.fi","kyllä","RDAP 429","ok","Etusivu | Siikajokilaakso","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Domain vaihtui: siikkis.fi -> siikajokilaakso.fi"
"10.7.2026 klo 8.49","Kuntien verkkosivut","Kunta","eurajoki","https://www.eurajoki.fi/","municipalityWebsites.ts","110","piilota","eurajoki.fi","eurajoki.fi","ei","EURAJOEN KUNTA","ei tarkistettu","","","","DNS ei ratkennut: ENOTFOUND; Tarkistus aikakatkaistiin; Turvallisuushuomio; HTTP-tarkistus epäonnistui"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Jaakkiman Sanomat","http://jaakkimansanomat.fi","localNewspaperLinks.ts","110","piilota","jaakkimansanomat.fi","jaakkimansanomat.fi","ei","RDAP 429","ok","&#8211; Jaakkiman Sanomat","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Kokemäkeläinen","http://kokemakelainen.net/","localNewspaperLinks.ts","110","piilota","kokemakelainen.net","kokemakelainen.net","ei","RDAP 429","ok","Kokemäkeläinen &#187; Paikallislehti","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Lakeuden portti","http://www.lakeudenportti.com/","localNewspaperLinks.ts","110","piilota","lakeudenportti.com","lakeudenportti.com","ei","RDAP 429","ok","Lakeudenportti","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Pohjois-Satakunta","http://www.pohjoissatakuntalehti.fi","localNewspaperLinks.ts","110","piilota","pohjoissatakuntalehti.fi","pohjoissatakuntalehti.fi","ei","RDAP 429","ok","POHJOISSATAKUNTALEHTI.FI<br><br>This domain name is not available for registration","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Topikki","https://topikki.fi/","localNewspaperLinks.ts","110","piilota","topikki.fi","topikki.fi","ei","RDAP 429","ei tarkistettu","","","","DNS ei ratkennut: ENOTFOUND; fetch failed; Turvallisuushuomio; HTTP-tarkistus epäonnistui"
"10.7.2026 klo 8.49","Palvelukategoriat","Oikeus","Kuluttajaneuvonta","https://www.kuluttajaneuvonta.fi","constants.tsx","110","piilota","kuluttajaneuvonta.fi","kkv.fi","kyllä","RDAP 429","ei tarkistettu","","","","HTTP 500; HTTP 500; Domain vaihtui: kuluttajaneuvonta.fi -> kkv.fi"
"10.7.2026 klo 8.49","Uutisvirrat","Kokemäki","Kokemäkeläinen","http://kokemakelainen.net/feed/","localNewspaperFeeds.ts","110","piilota","kokemakelainen.net","kokemakelainen.net","ei","RDAP 429","ok","Kokemäkeläinen","","","Ei HTTPS-yhteyttä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Lopullinen osoite ei käytä HTTPS-yhteyttä"
"10.7.2026 klo 8.49","Lehdet","Suomalaiset paikallislehdet","Kunnallislehti Paimio-Sauvo-Kaarina","http://www.kuntsari.fi/","localNewspaperLinks.ts","105","piilota","kuntsari.fi","kuntsari.fi","ei","RDAP 429","huomio","Kuntsari | kaikki Turun ja Salon välistä","","","Ei HTTPS-yhteyttä; Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Ei HTTPS-yhteyttä; Turvallisuushuomio; Sisältötarkistus vaatii huomiota"
"10.7.2026 klo 8.49","Kuntien kieliversiot","en","tyrnävä (en)","https://www.tyrnava.fi/en/home.html","municipalityWebsiteLocales.ts","85","piilota","tyrnava.fi","lianacloud.com","kyllä","RDAP 429","huomio","LianaAccount","","","Sivun otsikko tai sisältö ei selvästi vastaa linkin nimeä; Domain vaihtui: tyrnava.fi -> lianacloud.com; Sisältötarkistus vaatii huomiota"
